count_point_id,region_id,region_name,local_authority_id,local_authority_name,road_name,road_type,start_junction_road_name,end_junction_road_name,easting,northing,latitude,longitude,link_length_km,link_length_miles
945871,9,"South East",142,Oxfordshire,C,Minor,,,446008,250973,52.15512841,-1.32892846,,
945870,9,"South East",142,Oxfordshire,B4494,Minor,,,440048,187604,51.58587700,-1.42336832,,
945869,9,"South East",142,Oxfordshire,B4016,Minor,,,453279,189563,51.60239500,-1.23212000,,
945868,9,"South East",142,Oxfordshire,B4495,Minor,,,451930,204216,51.73425700,-1.24942260,,
945867,9,"South East",142,Oxfordshire,B4495,Minor,,,454299,204062,51.73265051,-1.21514542,,
945866,9,"South East",142,Oxfordshire,B4100,Minor,,,458298,222688,51.89969743,-1.15411736,,
945865,9,"South East",142,Oxfordshire,B480,Minor,,,455510,203577,51.72817000,-1.19768910,,
945864,9,"South East",142,Oxfordshire,B4449,Minor,,,440396,205583,51.74749500,-1.41627300,,
945863,9,"South East",142,Oxfordshire,B4508,Minor,,,423985,190904,51.61645720,-1.65498061,,
945862,9,"South East",142,Oxfordshire,B4047,Minor,,,430130,210428,51.79170120,-1.56454986,,
945861,9,"South East",142,Oxfordshire,B4016,Minor,,,452637,193461,51.63750000,-1.24080430,,
945860,9,"South East",142,Oxfordshire,B4027,Minor,,,458089,208484,51.77202561,-1.15953460,,
945859,9,"South East",142,Oxfordshire,B4030,Minor,,,442564,225502,51.92641500,-1.38242780,,
945858,9,"South East",142,Oxfordshire,B4437,Minor,,,428606,216370,51.84520387,-1.58615678,,
945857,9,"South East",142,Oxfordshire,B4000,Minor,,,423757,187941,51.58982400,-1.65847330,,
945856,9,"South East",142,Oxfordshire,B4030,Minor,,,454400,223449,51.90693220,-1.21064409,,
945855,9,"South East",142,Oxfordshire,B4020,Minor,,,426561,209410,51.78272867,-1.61637282,,
945854,9,"South East",142,Oxfordshire,B4027,Minor,,,448328,218086,51.85927500,-1.29964900,,
945853,9,"South East",142,Oxfordshire,B4027,Minor,,,443211,220955,51.88548700,-1.37358820,,
945852,9,"South East",142,Oxfordshire,B4016,Minor,,,453190,192584,51.62956508,-1.23294732,,
945851,9,"South East",142,Oxfordshire,B4035,Minor,,,439607,237420,52.03377900,-1.42405530,,
